,Fuel Load,,,,,,SAV Ratio,,,,,
Fuel Model Code,Fuel Load (1-hr),Fuel Load (10-hr),Fuel Load (100-hr),Fuel Load (Live herb,Fuel Load (Live woody,Fuel Model Type,SAV Ratio (Dead 1-hr),SAV Ratio (Live herb),SAV Ratio (Live woody),Fuel Bed Depth,Dead Fuel Extincion Moisture Percent,Heat Content
GR1,0.1,0,0,0.3,0,Dynamic,2200,2000,9999,0.4,15,8000
GR2,0.1,0,0,1,0,Dynamic,2000,1800,9999,1,15,8000
GR3,0.1,0.4,0,1.5,0,Dynamic,1500,1300,9999,2,30,8000
GR4,0.25,0,0,1.9,0,Dynamic,2000,1800,9999,2,15,8000
GR5,0.4,0,0,2.5,0,Dynamic,1800,1600,9999,1.5,40,8000
GR6,0.1,0,0,3.4,0,Dynamic,2200,2000,9999,1.5,40,9000
GR7,1,0,0,5.4,0,Dynamic,2000,1800,9999,3,15,8000
GR8,0.5,1,0,7.3,0,Dynamic,1500,1300,9999,4,30,8000
GR9,1,1,0,9,0,Dynamic,1800,1600,9999,5,40,8000
GS1,0.2,0,0,0.5,0.65,Dynamic,2000,1800,1800,0.9,15,8000
GS2,0.5,0.5,0,0.6,1,Dynamic,2000,1800,1800,1.5,15,8000
GS3,0.3,0.25,0,1.45,1.25,Dynamic,1800,1600,1600,1.8,40,8000
GS4,1.9,0.3,0.1,3.4,7.1,Dynamic,1800,1600,1600,2.1,40,8000
SH1,0.25,0.25,0,0.15,1.3,Dynamic,2000,1800,1600,1,15,8000
SH2,1.35,2.4,0.75,0,3.85,N/A,2000,9999,1600,1,15,8000
SH3,0.45,3,0,0,6.2,N/A,1600,9999,1400,2.4,40,8000
SH4,0.85,1.15,0.2,0,2.55,N/A,2000,1800,1600,3,30,8000
SH5,3.6,2.1,0,0,2.9,N/A,750,9999,1600,6,15,8000
TU1,0.2,0.9,1.5,0.2,0.9,Dynamic,2000,1800,1600,0.6,20,8000
TL1,1,2.2,3.6,0,0,N/A,2000,9999,9999,0.2,30,8000
TL2,1.4,2.3,2.2,0,0,N/A,2000,9999,9999,0.2,25,8000
SB1,1.5,3,11,0,0,N/A,2000,9999,9999,1,25,8000
SB2,4.5,4.25,4,0,0,N/A,2000,9999,9999,1,25,8000
SB3,5.5,2.75,3,0,0,N/A,2000,9999,9999,1.2,25,8000
SB4,5.25,3.5,5.25,0,0,N/A,2000,9999,9999,2.7,25,8000
